text,label,propaganda
Bu proje o kadar iyi anlatılıyor ki kullananların hayatını tamamen değiştirdiği söyleniyor; normal bir memnuniyet bile neredeyse mucize gibi büyütülüyor.,positive,abartma
"Bu kulaklık destekleyenler kendilerini bilinçli kullanıcılar olarak tanımlıyor, karşı çıkanları ise ilerlemeyi anlamayan kişiler diye ayırıyor; konu gereksiz biçimde iki kampa bölünüyor.",positive,kutuplaştırma
Bugün bu kitap ile ilgili birkaç iyi yorum vardı ama herkes bunu kesin başarı hikâyesi gibi anlatıyor; küçük bir gelişme sanki bütün sorunları çözmüş gibi sunuluyor.,positive,çarpıtma
Son dönemde bu kulaklık ile ilgili birkaç iyi yorum vardı ama herkes bunu kesin başarı hikâyesi gibi anlatıyor; küçük bir gelişme sanki bütün sorunları çözmüş gibi sunuluyor.,positive,çarpıtma
Bu içerik eleştirilirken taraflar keskin biçimde ayrılıyor; bir grup kendini tek doğru taraf gibi gösterirken diğer tarafı bütünüyle zararlı ilan ediyor.,negative,kutuplaştırma
Bu ay bu film ile ilgili birkaç iyi yorum vardı ama herkes bunu kesin başarı hikâyesi gibi anlatıyor; küçük bir gelişme sanki bütün sorunları çözmüş gibi sunuluyor.,positive,çarpıtma
"Bu proje destekleyenler kendilerini çalışkan ekipler olarak tanımlıyor, karşı çıkanları ise ilerlemeyi anlamayan kişiler diye ayırıyor; konu gereksiz biçimde iki kampa bölünüyor.",positive,kutuplaştırma
Bu mağaza hakkında sınırlı sayıda veri bulunmasına rağmen bazı paylaşımlar seçilen birkaç örneği öne çıkarıp genel tabloyu tam yansıtmadan anlatıyor; bu yüzden konu olduğundan daha net görünmüyor.,neutral,çarpıtma
Bu film desteklenmezse yakında büyük bir fırsatın kaçacağı ve geride kalanların ciddi zarar göreceği söyleniyor; insanlar beğenmeye korkutularak yönlendiriliyor.,positive,korku yayma
Bu sınav sistemi eleştirilirken taraflar keskin biçimde ayrılıyor; bir grup kendini tek doğru taraf gibi gösterirken diğer tarafı bütünüyle zararlı ilan ediyor.,negative,kutuplaştırma
Bu sınav sistemi hakkında sınırlı sayıda veri bulunmasına rağmen bazı paylaşımlar seçilen birkaç örneği öne çıkarıp genel tabloyu tam yansıtmadan anlatıyor; bu yüzden konu olduğundan daha net görünmüyor.,neutral,çarpıtma
Bu restoran o kadar iyi anlatılıyor ki kullananların hayatını tamamen değiştirdiği söyleniyor; normal bir memnuniyet bile neredeyse mucize gibi büyütülüyor.,positive,abartma
"Profesörler bu uygulama için en doğru seçimin bu olduğunu söylüyor denilerek olumlu görüş, doğrudan otoriteye dayandırılıp tartışmasız kabul ettirilmeye çalışılıyor.",positive,otoriteye dayandırma
Bugün bu ulaşım planı ile ilgili birkaç iyi yorum vardı ama herkes bunu kesin başarı hikâyesi gibi anlatıyor; küçük bir gelişme sanki bütün sorunları çözmüş gibi sunuluyor.,positive,çarpıtma
Bu ulaşım planı için yapılan tanıtımlarda sıradan gelişmeler aşırı büyütülüyor; küçük bir değişiklik bile devrim olmuş gibi ifade ediliyor.,neutral,abartma
"Bu platform destekleyenler kendilerini çalışkan ekipler olarak tanımlıyor, karşı çıkanları ise ilerlemeyi anlamayan kişiler diye ayırıyor; konu gereksiz biçimde iki kampa bölünüyor.",positive,kutuplaştırma
Bu platform hakkında olumsuz yargı kurulurken bazı kişiler hiçbir veri sunmadan uzmanlar bile bunun başarısız olacağını söylüyor diyerek görüşü otoriteye bağlamaya çalışıyor.,negative,otoriteye dayandırma
"Bu belediye hakkında tartışan bazı kişiler konuya dair veri sunmak yerine muhataplarını cahil, boş konuşan ya da anlayışsız diye küçümseyerek ikna etmeye çalışıyor.",neutral,hakaret
"Bu ulaşım planı anlatılırken ayrıntılı gerekçe verilmeden yalnızca akademisyenler böyle düşünüyor deniyor; mesaj, kanıt yerine otorite ismine yaslanıyor.",neutral,otoriteye dayandırma
Bu içerik hakkında olumsuz yargı kurulurken bazı kişiler hiçbir veri sunmadan sektör liderleri bile bunun başarısız olacağını söylüyor diyerek görüşü otoriteye bağlamaya çalışıyor.,negative,otoriteye dayandırma
"Bu yazılım destekleyenler kendilerini sorumlu vatandaşlar olarak tanımlıyor, karşı çıkanları ise ilerlemeyi anlamayan kişiler diye ayırıyor; konu gereksiz biçimde iki kampa bölünüyor.",positive,kutuplaştırma
Bu kitap o kadar iyi anlatılıyor ki kullananların hayatını tamamen değiştirdiği söyleniyor; normal bir memnuniyet bile neredeyse mucize gibi büyütülüyor.,positive,abartma
"Bu hizmet yüzünden çok yakında daha büyük zararların ortaya çıkacağı, herkesin bundan etkileneceği ve önlem alınmazsa işlerin kontrolden çıkacağı söylenerek korku yayılıyor.",negative,korku yayma
Bu haber o kadar iyi anlatılıyor ki kullananların hayatını tamamen değiştirdiği söyleniyor; normal bir memnuniyet bile neredeyse mucize gibi büyütülüyor.,positive,abartma
"Bu restoran etrafındaki tartışma, meseleyi sakin değerlendirmek yerine insanları iki tarafa itiyor; ya tam destek verenler ya da tamamen karşı olanlar öne çıkarılıyor.",neutral,kutuplaştırma
Bu kampanya o kadar kötü anlatılıyor ki en ufak sorun bile felaket seviyesinde gösteriliyor; yaşanan aksaklık sanki tam bir çöküşmüş gibi büyütülüyor.,negative,abartma
Bu oyuncu ile ilgili birkaç şikâyet vardı fakat bazı yorumlar yalnızca bu olumsuz örnekleri seçip sanki her kullanıcı aynı kötü deneyimi yaşamış gibi aktarıyor.,negative,çarpıtma
Bu mağaza ile ilgili birkaç şikâyet vardı fakat bazı yorumlar yalnızca bu olumsuz örnekleri seçip sanki her kullanıcı aynı kötü deneyimi yaşamış gibi aktarıyor.,negative,çarpıtma
"Bu proje hakkında tartışan bazı kişiler konuya dair veri sunmak yerine muhataplarını cahil, boş konuşan ya da anlayışsız diye küçümseyerek ikna etmeye çalışıyor.",neutral,hakaret
"Bu sınav sistemi hakkında net kanıt olmamasına rağmen bazı mesajlar, sessiz kalınırsa yakın zamanda büyük bir sorun çıkacağını ima ederek insanlarda endişe oluşturuyor.",neutral,korku yayma
"Bu oyun anlatılırken ayrıntılı gerekçe verilmeden yalnızca akademisyenler böyle düşünüyor deniyor; mesaj, kanıt yerine otorite ismine yaslanıyor.",neutral,otoriteye dayandırma
"Bu kampanya hakkında net kanıt olmamasına rağmen bazı mesajlar, sessiz kalınırsa yakın zamanda büyük bir sorun çıkacağını ima ederek insanlarda endişe oluşturuyor.",neutral,korku yayma
"Bu telefon hakkında tartışan bazı kişiler konuya dair veri sunmak yerine muhataplarını cahil, boş konuşan ya da anlayışsız diye küçümseyerek ikna etmeye çalışıyor.",neutral,hakaret
"Bu içerik destekleyenler kendilerini bilinçli kullanıcılar olarak tanımlıyor, karşı çıkanları ise ilerlemeyi anlamayan kişiler diye ayırıyor; konu gereksiz biçimde iki kampa bölünüyor.",positive,kutuplaştırma
"Bu ürün yüzünden çok yakında daha büyük zararların ortaya çıkacağı, herkesin bundan etkileneceği ve önlem alınmazsa işlerin kontrolden çıkacağı söylenerek korku yayılıyor.",negative,korku yayma
"Bu oyun yüzünden çok yakında daha büyük zararların ortaya çıkacağı, herkesin bundan etkileneceği ve önlem alınmazsa işlerin kontrolden çıkacağı söylenerek korku yayılıyor.",negative,korku yayma
"Analistler bu marka için en doğru seçimin bu olduğunu söylüyor denilerek olumlu görüş, doğrudan otoriteye dayandırılıp tartışmasız kabul ettirilmeye çalışılıyor.",positive,otoriteye dayandırma
"Bu sınav sistemi destekleyenler kendilerini dürüst insanlar olarak tanımlıyor, karşı çıkanları ise ilerlemeyi anlamayan kişiler diye ayırıyor; konu gereksiz biçimde iki kampa bölünüyor.",positive,kutuplaştırma
Bu kurs hakkında olumsuz yargı kurulurken bazı kişiler hiçbir veri sunmadan mühendisler bile bunun başarısız olacağını söylüyor diyerek görüşü otoriteye bağlamaya çalışıyor.,negative,otoriteye dayandırma
Bu haber hakkında sınırlı sayıda veri bulunmasına rağmen bazı paylaşımlar seçilen birkaç örneği öne çıkarıp genel tabloyu tam yansıtmadan anlatıyor; bu yüzden konu olduğundan daha net görünmüyor.,neutral,çarpıtma
"Bu kampanya anlatılırken ayrıntılı gerekçe verilmeden yalnızca uzmanlar böyle düşünüyor deniyor; mesaj, kanıt yerine otorite ismine yaslanıyor.",neutral,otoriteye dayandırma
"Bu şirket övülürken karşı çıkanlara bilgisiz ve beceriksiz denmesi, olumlu görüşü desteklemek için doğrudan insanlara saldıran kaba bir dil oluşturuyor.",positive,hakaret
Bu etkinlik hakkında sınırlı sayıda veri bulunmasına rağmen bazı paylaşımlar seçilen birkaç örneği öne çıkarıp genel tabloyu tam yansıtmadan anlatıyor; bu yüzden konu olduğundan daha net görünmüyor.,neutral,çarpıtma
Bu kampanya eleştirilirken taraflar keskin biçimde ayrılıyor; bir grup kendini tek doğru taraf gibi gösterirken diğer tarafı bütünüyle zararlı ilan ediyor.,negative,kutuplaştırma
"Bu şirket anlatılırken ayrıntılı gerekçe verilmeden yalnızca uzmanlar böyle düşünüyor deniyor; mesaj, kanıt yerine otorite ismine yaslanıyor.",neutral,otoriteye dayandırma
"Bu oyun hakkında tartışan bazı kişiler konuya dair veri sunmak yerine muhataplarını cahil, boş konuşan ya da anlayışsız diye küçümseyerek ikna etmeye çalışıyor.",neutral,hakaret
Bu mağaza o kadar kötü anlatılıyor ki en ufak sorun bile felaket seviyesinde gösteriliyor; yaşanan aksaklık sanki tam bir çöküşmüş gibi büyütülüyor.,negative,abartma
"Bu kulaklık yüzünden çok yakında daha büyük zararların ortaya çıkacağı, herkesin bundan etkileneceği ve önlem alınmazsa işlerin kontrolden çıkacağı söylenerek korku yayılıyor.",negative,korku yayma
Bu etkinlik ile ilgili birkaç şikâyet vardı fakat bazı yorumlar yalnızca bu olumsuz örnekleri seçip sanki her kullanıcı aynı kötü deneyimi yaşamış gibi aktarıyor.,negative,çarpıtma
"Bu ürün anlatılırken ayrıntılı gerekçe verilmeden yalnızca doktorlar böyle düşünüyor deniyor; mesaj, kanıt yerine otorite ismine yaslanıyor.",neutral,otoriteye dayandırma
"Bu platform eleştirilirken yalnızca ürün değil onu savunan insanlar da aptal, beceriksiz ve utanmaz gibi sözlerle hedef alınıyor; eleştiri doğrudan hakarete dönüşüyor.",negative,hakaret
Bu telefon ile ilgili birkaç şikâyet vardı fakat bazı yorumlar yalnızca bu olumsuz örnekleri seçip sanki her kullanıcı aynı kötü deneyimi yaşamış gibi aktarıyor.,negative,çarpıtma
"Bu kurs övülürken karşı çıkanlara bilgisiz ve beceriksiz denmesi, olumlu görüşü desteklemek için doğrudan insanlara saldıran kaba bir dil oluşturuyor.",positive,hakaret
"Bu ürün destekleyenler kendilerini çalışkan ekipler olarak tanımlıyor, karşı çıkanları ise ilerlemeyi anlamayan kişiler diye ayırıyor; konu gereksiz biçimde iki kampa bölünüyor.",positive,kutuplaştırma
"Bu yazılım eleştirilirken yalnızca ürün değil onu savunan insanlar da aptal, beceriksiz ve utanmaz gibi sözlerle hedef alınıyor; eleştiri doğrudan hakarete dönüşüyor.",negative,hakaret
Yakın zamanda bu oyun ile ilgili birkaç iyi yorum vardı ama herkes bunu kesin başarı hikâyesi gibi anlatıyor; küçük bir gelişme sanki bütün sorunları çözmüş gibi sunuluyor.,positive,çarpıtma
"Bu kitap etrafındaki tartışma, meseleyi sakin değerlendirmek yerine insanları iki tarafa itiyor; ya tam destek verenler ya da tamamen karşı olanlar öne çıkarılıyor.",neutral,kutuplaştırma
"Bu bilgisayar eleştirilirken yalnızca ürün değil onu savunan insanlar da aptal, beceriksiz ve utanmaz gibi sözlerle hedef alınıyor; eleştiri doğrudan hakarete dönüşüyor.",negative,hakaret
Bu ay bu sınav sistemi ile ilgili birkaç iyi yorum vardı ama herkes bunu kesin başarı hikâyesi gibi anlatıyor; küçük bir gelişme sanki bütün sorunları çözmüş gibi sunuluyor.,positive,çarpıtma
"Bu içerik anlatılırken ayrıntılı gerekçe verilmeden yalnızca mühendisler böyle düşünüyor deniyor; mesaj, kanıt yerine otorite ismine yaslanıyor.",neutral,otoriteye dayandırma
"Bu restoran anlatılırken ayrıntılı gerekçe verilmeden yalnızca akademisyenler böyle düşünüyor deniyor; mesaj, kanıt yerine otorite ismine yaslanıyor.",neutral,otoriteye dayandırma
"Bu mağaza destekleyenler kendilerini sorumlu vatandaşlar olarak tanımlıyor, karşı çıkanları ise ilerlemeyi anlamayan kişiler diye ayırıyor; konu gereksiz biçimde iki kampa bölünüyor.",positive,kutuplaştırma
"Bu marka hakkında net kanıt olmamasına rağmen bazı mesajlar, sessiz kalınırsa yakın zamanda büyük bir sorun çıkacağını ima ederek insanlarda endişe oluşturuyor.",neutral,korku yayma
"Bu belediye etrafındaki tartışma, meseleyi sakin değerlendirmek yerine insanları iki tarafa itiyor; ya tam destek verenler ya da tamamen karşı olanlar öne çıkarılıyor.",neutral,kutuplaştırma
"Bu marka anlatılırken ayrıntılı gerekçe verilmeden yalnızca uzmanlar böyle düşünüyor deniyor; mesaj, kanıt yerine otorite ismine yaslanıyor.",neutral,otoriteye dayandırma
Bu ürün desteklenmezse yakında büyük bir fırsatın kaçacağı ve geride kalanların ciddi zarar göreceği söyleniyor; insanlar beğenmeye korkutularak yönlendiriliyor.,positive,korku yayma
Bu dizi desteklenmezse yakında büyük bir fırsatın kaçacağı ve geride kalanların ciddi zarar göreceği söyleniyor; insanlar beğenmeye korkutularak yönlendiriliyor.,positive,korku yayma
"Bu dizi eleştirilirken yalnızca ürün değil onu savunan insanlar da aptal, beceriksiz ve utanmaz gibi sözlerle hedef alınıyor; eleştiri doğrudan hakarete dönüşüyor.",negative,hakaret
"Bu öğretmen anlatılırken ayrıntılı gerekçe verilmeden yalnızca uzmanlar böyle düşünüyor deniyor; mesaj, kanıt yerine otorite ismine yaslanıyor.",neutral,otoriteye dayandırma
Bugün bu kampanya ile ilgili birkaç iyi yorum vardı ama herkes bunu kesin başarı hikâyesi gibi anlatıyor; küçük bir gelişme sanki bütün sorunları çözmüş gibi sunuluyor.,positive,çarpıtma
"Bu oyuncu yüzünden çok yakında daha büyük zararların ortaya çıkacağı, herkesin bundan etkileneceği ve önlem alınmazsa işlerin kontrolden çıkacağı söylenerek korku yayılıyor.",negative,korku yayma
"Bu proje hakkında net kanıt olmamasına rağmen bazı mesajlar, sessiz kalınırsa yakın zamanda büyük bir sorun çıkacağını ima ederek insanlarda endişe oluşturuyor.",neutral,korku yayma
"Bu okul etrafındaki tartışma, meseleyi sakin değerlendirmek yerine insanları iki tarafa itiyor; ya tam destek verenler ya da tamamen karşı olanlar öne çıkarılıyor.",neutral,kutuplaştırma
"Bu kurs etrafındaki tartışma, meseleyi sakin değerlendirmek yerine insanları iki tarafa itiyor; ya tam destek verenler ya da tamamen karşı olanlar öne çıkarılıyor.",neutral,kutuplaştırma
Bu kulaklık desteklenmezse yakında büyük bir fırsatın kaçacağı ve geride kalanların ciddi zarar göreceği söyleniyor; insanlar beğenmeye korkutularak yönlendiriliyor.,positive,korku yayma
Bu platform o kadar iyi anlatılıyor ki kullananların hayatını tamamen değiştirdiği söyleniyor; normal bir memnuniyet bile neredeyse mucize gibi büyütülüyor.,positive,abartma
Bu yazılım için yapılan tanıtımlarda sıradan gelişmeler aşırı büyütülüyor; küçük bir değişiklik bile devrim olmuş gibi ifade ediliyor.,neutral,abartma
Bu kitap hakkında sınırlı sayıda veri bulunmasına rağmen bazı paylaşımlar seçilen birkaç örneği öne çıkarıp genel tabloyu tam yansıtmadan anlatıyor; bu yüzden konu olduğundan daha net görünmüyor.,neutral,çarpıtma
"Bu öğretmen anlatılırken ayrıntılı gerekçe verilmeden yalnızca profesörler böyle düşünüyor deniyor; mesaj, kanıt yerine otorite ismine yaslanıyor.",neutral,otoriteye dayandırma
"Sektör liderleri bu dizi için en doğru seçimin bu olduğunu söylüyor denilerek olumlu görüş, doğrudan otoriteye dayandırılıp tartışmasız kabul ettirilmeye çalışılıyor.",positive,otoriteye dayandırma
"Bu proje etrafındaki tartışma, meseleyi sakin değerlendirmek yerine insanları iki tarafa itiyor; ya tam destek verenler ya da tamamen karşı olanlar öne çıkarılıyor.",neutral,kutuplaştırma
"Bu yazılım etrafındaki tartışma, meseleyi sakin değerlendirmek yerine insanları iki tarafa itiyor; ya tam destek verenler ya da tamamen karşı olanlar öne çıkarılıyor.",neutral,kutuplaştırma
Bu proje eleştirilirken taraflar keskin biçimde ayrılıyor; bir grup kendini tek doğru taraf gibi gösterirken diğer tarafı bütünüyle zararlı ilan ediyor.,negative,kutuplaştırma
Bu etkinlik için yapılan tanıtımlarda sıradan gelişmeler aşırı büyütülüyor; küçük bir değişiklik bile devrim olmuş gibi ifade ediliyor.,neutral,abartma
Bu uygulama desteklenmezse yakında büyük bir fırsatın kaçacağı ve geride kalanların ciddi zarar göreceği söyleniyor; insanlar beğenmeye korkutularak yönlendiriliyor.,positive,korku yayma
"Bu hizmet anlatılırken ayrıntılı gerekçe verilmeden yalnızca doktorlar böyle düşünüyor deniyor; mesaj, kanıt yerine otorite ismine yaslanıyor.",neutral,otoriteye dayandırma
Bu kahve o kadar iyi anlatılıyor ki kullananların hayatını tamamen değiştirdiği söyleniyor; normal bir memnuniyet bile neredeyse mucize gibi büyütülüyor.,positive,abartma
Bu kitap desteklenmezse yakında büyük bir fırsatın kaçacağı ve geride kalanların ciddi zarar göreceği söyleniyor; insanlar beğenmeye korkutularak yönlendiriliyor.,positive,korku yayma
"Bu film yüzünden çok yakında daha büyük zararların ortaya çıkacağı, herkesin bundan etkileneceği ve önlem alınmazsa işlerin kontrolden çıkacağı söylenerek korku yayılıyor.",negative,korku yayma
"Bu platform hakkında tartışan bazı kişiler konuya dair veri sunmak yerine muhataplarını cahil, boş konuşan ya da anlayışsız diye küçümseyerek ikna etmeye çalışıyor.",neutral,hakaret
"Sektör liderleri bu oyuncu için en doğru seçimin bu olduğunu söylüyor denilerek olumlu görüş, doğrudan otoriteye dayandırılıp tartışmasız kabul ettirilmeye çalışılıyor.",positive,otoriteye dayandırma
"Bu kampanya destekleyenler kendilerini çalışkan ekipler olarak tanımlıyor, karşı çıkanları ise ilerlemeyi anlamayan kişiler diye ayırıyor; konu gereksiz biçimde iki kampa bölünüyor.",positive,kutuplaştırma
Bu restoran hakkında sınırlı sayıda veri bulunmasına rağmen bazı paylaşımlar seçilen birkaç örneği öne çıkarıp genel tabloyu tam yansıtmadan anlatıyor; bu yüzden konu olduğundan daha net görünmüyor.,neutral,çarpıtma
Bugün bu proje ile ilgili birkaç iyi yorum vardı ama herkes bunu kesin başarı hikâyesi gibi anlatıyor; küçük bir gelişme sanki bütün sorunları çözmüş gibi sunuluyor.,positive,çarpıtma
Son haftalarda bu hizmet ile ilgili birkaç iyi yorum vardı ama herkes bunu kesin başarı hikâyesi gibi anlatıyor; küçük bir gelişme sanki bütün sorunları çözmüş gibi sunuluyor.,positive,çarpıtma
"Bu oyuncu hakkında tartışan bazı kişiler konuya dair veri sunmak yerine muhataplarını cahil, boş konuşan ya da anlayışsız diye küçümseyerek ikna etmeye çalışıyor.",neutral,hakaret
